filepath,kanji,meaning
../kanji_images/kanji_医.png,医,"doctor, medicine"
../kanji_images/kanji_井.png,井,"well, well crib, town, community"
../kanji_images/kanji_亥.png,亥,"sign of the hog, 9-11PM, twelfth sign of the Chinese zodiac"
../kanji_images/kanji_域.png,域,"range, region, limits, stage, level"
../kanji_images/kanji_育.png,育,"bring up, grow up, raise, rear"
../kanji_images/kanji_郁.png,郁,"cultural progress, perfume"
../kanji_images/kanji_磯.png,磯,"seashore, beach"
../kanji_images/kanji_一.png,一,"one, one radical (no.1)"
../kanji_images/kanji_壱.png,壱,one (in documents)
../kanji_images/kanji_溢.png,溢,"overflow, inundate, spill"
../kanji_images/kanji_逸.png,逸,"deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge"
../kanji_images/kanji_稲.png,稲,rice plant
../kanji_images/kanji_茨.png,茨,"briar, thorn"
../kanji_images/kanji_芋.png,芋,potato
../kanji_images/kanji_鰯.png,鰯,"sardine, (kokuji)"
../kanji_images/kanji_允.png,允,"license, sincerity, permit"
../kanji_images/kanji_印.png,印,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India"
../kanji_images/kanji_咽.png,咽,"throat, choked, smothered, stuffy"
../kanji_images/kanji_員.png,員,"employee, member, number, the one in charge"
../kanji_images/kanji_因.png,因,"cause, factor, be associated with, depend on, be limited to"
../kanji_images/kanji_姻.png,姻,"matrimony, marry"
../kanji_images/kanji_引.png,引,"pull, tug, jerk, admit, install, quote, refer to"
../kanji_images/kanji_飲.png,飲,"drink, smoke, take"
../kanji_images/kanji_淫.png,淫,"lewdness, licentiousness"
../kanji_images/kanji_胤.png,胤,"descendent, issue, offspring"
../kanji_images/kanji_蔭.png,蔭,"shade, shadow, backing assistance"
../kanji_images/kanji_院.png,院,"Inst., institution, temple, mansion, school"
../kanji_images/kanji_陰.png,陰,"shade, yin, negative, sex organs, secret, shadow"
../kanji_images/kanji_隠.png,隠,"conceal, hide, cover"
../kanji_images/kanji_韻.png,韻,"rhyme, elegance, tone"
../kanji_images/kanji_吋.png,吋,inch
../kanji_images/kanji_右.png,右,right
../kanji_images/kanji_宇.png,宇,"eaves, roof, house, heaven"
../kanji_images/kanji_烏.png,烏,"crow, raven"
../kanji_images/kanji_羽.png,羽,"feathers, counter for birds, rabbits"
../kanji_images/kanji_迂.png,迂,roundabout way
../kanji_images/kanji_雨.png,雨,rain
../kanji_images/kanji_卯.png,卯,"sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east"
../kanji_images/kanji_鵜.png,鵜,cormorant
../kanji_images/kanji_窺.png,窺,"lie in wait, spy on, reconnoiter"
../kanji_images/kanji_丑.png,丑,"sign of the ox or cow, 1-3AM, second sign of Chinese zodiac"
../kanji_images/kanji_碓.png,碓,pestle
../kanji_images/kanji_臼.png,臼,mortar
../kanji_images/kanji_渦.png,渦,"whirlpool, eddy, vortex"
../kanji_images/kanji_嘘.png,嘘,"lie, falsehood"
../kanji_images/kanji_唄.png,唄,"song, ballad"
../kanji_images/kanji_欝.png,欝,"gloom, depression, melancholy"
../kanji_images/kanji_蔚.png,蔚,dense growth
../kanji_images/kanji_鰻.png,鰻,eel
../kanji_images/kanji_姥.png,姥,old woman
../kanji_images/kanji_厩.png,厩,"barn, stable"
../kanji_images/kanji_浦.png,浦,"bay, creek, inlet, gulf, beach, seacoast"
../kanji_images/kanji_瓜.png,瓜,melon
../kanji_images/kanji_閏.png,閏,"intercalation, illegitimate throne"
../kanji_images/kanji_噂.png,噂,"rumor, gossip, hearsay"
../kanji_images/kanji_云.png,云,say
../kanji_images/kanji_運.png,運,"carry, luck, destiny, fate, lot, transport, progress, advance"
../kanji_images/kanji_雲.png,雲,cloud
../kanji_images/kanji_荏.png,荏,"bean, perilla, herb, soft, pliable"
../kanji_images/kanji_餌.png,餌,"food, bait, prey, tempting profit"
../kanji_images/kanji_叡.png,叡,"intelligence, imperial"
../kanji_images/kanji_営.png,営,"camp, perform, build, conduct (business)"
../kanji_images/kanji_嬰.png,嬰,"sharp (music), baby"
../kanji_images/kanji_影.png,影,"shadow, silhouette, phantom"
../kanji_images/kanji_映.png,映,"reflect, reflection, projection"
../kanji_images/kanji_曳.png,曳,"pull, tug, jerk, admit, install, quote, refer to"
../kanji_images/kanji_栄.png,栄,"flourish, prosperity, honor, glory, splendor"
../kanji_images/kanji_永.png,永,"eternity, long, lengthy"
../kanji_images/kanji_泳.png,泳,swim
../kanji_images/kanji_洩.png,洩,"leak, escape"
../kanji_images/kanji_瑛.png,瑛,"sparkle of jewelry, crystal"
../kanji_images/kanji_盈.png,盈,"fullness, enough, pride, satisfy"
../kanji_images/kanji_穎.png,穎,"heads of grain, cleverness"
../kanji_images/kanji_頴.png,頴,"heads of grain, cleverness"
../kanji_images/kanji_英.png,英,"England, English, hero, outstanding, calyx"
../kanji_images/kanji_衛.png,衛,"defense, protection"
../kanji_images/kanji_詠.png,詠,"recitation, poem, song, composing"
../kanji_images/kanji_鋭.png,鋭,"pointed, sharpness, edge, weapon, sharp, violent"
../kanji_images/kanji_液.png,液,"fluid, liquid, juice, sap, secretion"
../kanji_images/kanji_疫.png,疫,epidemic
../kanji_images/kanji_益.png,益,"benefit, gain, profit, advantage"
../kanji_images/kanji_駅.png,駅,station
../kanji_images/kanji_悦.png,悦,"ecstasy, joy, rapture"
../kanji_images/kanji_謁.png,謁,"audience, audience (with king)"
../kanji_images/kanji_越.png,越,"surpass, cross over, move to, exceed, Vietnam"
../kanji_images/kanji_閲.png,閲,"review, inspection, revision"
../kanji_images/kanji_榎.png,榎,"lotus tree, nettle tree, hackberry"
../kanji_images/kanji_厭.png,厭,"get tired of, satiate, bore, dislike, disagreeable, unwelcome"
../kanji_images/kanji_円.png,円,"circle, yen, round"
../kanji_images/kanji_園.png,園,"park, garden, yard, farm"
../kanji_images/kanji_堰.png,堰,"dam, prevent, stop up"
../kanji_images/kanji_奄.png,奄,"cover, suffocate, obstruct"
../kanji_images/kanji_宴.png,宴,"banquet, feast, party"
../kanji_images/kanji_延.png,延,"prolong, stretching"
../kanji_images/kanji_怨.png,怨,"grudge, show resentment, be jealous"
../kanji_images/kanji_掩.png,掩,"cover, conceal"
../kanji_images/kanji_援.png,援,"abet, help, save"
../kanji_images/kanji_沿.png,沿,"run alongside, follow along, run along, lie along"
../kanji_images/kanji_演.png,演,"performance, act, play, render, stage"
../kanji_images/kanji_炎.png,炎,"inflammation, flame, blaze"
../kanji_images/kanji_焔.png,焔,"flame, blaze"
../kanji_images/kanji_煙.png,煙,smoke
../kanji_images/kanji_燕.png,燕,swallow (bird)
../kanji_images/kanji_猿.png,猿,monkey
../kanji_images/kanji_縁.png,縁,"affinity, relation, connection, edge, border, verge, brink"
../kanji_images/kanji_艶.png,艶,"glossy, luster, glaze, polish, charm, colorful, captivating"
../kanji_images/kanji_苑.png,苑,"garden, farm, park"
../kanji_images/kanji_薗.png,薗,"garden, yard, farm"
../kanji_images/kanji_遠.png,遠,"distant, far"
../kanji_images/kanji_鉛.png,鉛,lead
../kanji_images/kanji_鴛.png,鴛,male mandarin duck
../kanji_images/kanji_塩.png,塩,salt
../kanji_images/kanji_於.png,於,"at, in, on, as for"
../kanji_images/kanji_汚.png,汚,"dirty, pollute, disgrace, rape, defile"
../kanji_images/kanji_甥.png,甥,nephew
../kanji_images/kanji_凹.png,凹,"concave, hollow, sunken"
../kanji_images/kanji_央.png,央,"center, middle"
../kanji_images/kanji_奥.png,奥,"heart, interior"
../kanji_images/kanji_往.png,往,"journey, travel, chase away, let go, going, before, formerly"
../kanji_images/kanji_応.png,応,"apply, answer, yes, OK, reply, accept"
../kanji_images/kanji_押.png,押,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of"
../kanji_images/kanji_旺.png,旺,"flourishing, successful, beautiful, vigorous"
../kanji_images/kanji_横.png,横,"sideways, side, horizontal, width, woof, unreasonable, perverse"
../kanji_images/kanji_欧.png,欧,Europe
../kanji_images/kanji_殴.png,殴,"assault, hit, beat, thrash"
../kanji_images/kanji_王.png,王,"king, rule, magnate"
../kanji_images/kanji_翁.png,翁,venerable old man
../kanji_images/kanji_襖.png,襖,opaque sliding door
../kanji_images/kanji_鴬.png,鴬,"nightingale, bush warbler"
../kanji_images/kanji_鴎.png,鴎,seagull
../kanji_images/kanji_黄.png,黄,yellow
../kanji_images/kanji_岡.png,岡,"mount, hill, knoll"
../kanji_images/kanji_沖.png,沖,"open sea, offing, rise high into sky"
../kanji_images/kanji_荻.png,荻,"reed, rush"
../kanji_images/kanji_億.png,億,"hundred million, 10**8"
../kanji_images/kanji_屋.png,屋,"roof, house, shop, dealer, seller"
../kanji_images/kanji_憶.png,憶,"recollection, think, remember"
../kanji_images/kanji_臆.png,臆,"timidity, heart, mind, fear, cowardly"
../kanji_images/kanji_桶.png,桶,"tub, bucket"
../kanji_images/kanji_牡.png,牡,male
../kanji_images/kanji_乙.png,乙,"the latter, duplicate, strange, witty, fishhook radical (no. 5)"
../kanji_images/kanji_俺.png,俺,"I, myself"
../kanji_images/kanji_卸.png,卸,wholesale
../kanji_images/kanji_恩.png,恩,"grace, kindness, goodness, favor, mercy, blessing, benefit"
../kanji_images/kanji_温.png,温,warm
../kanji_images/kanji_穏.png,穏,"calm, quiet, moderation"
../kanji_images/kanji_音.png,音,"sound, noise"
../kanji_images/kanji_下.png,下,"below, down, descend, give, low, inferior"
../kanji_images/kanji_化.png,化,"change, take the form of, influence, enchant, delude, -ization"
../kanji_images/kanji_仮.png,仮,"sham, temporary, interim, assumed (name), informal"
../kanji_images/kanji_何.png,何,what
../kanji_images/kanji_伽.png,伽,"nursing, attending, entertainer"
../kanji_images/kanji_価.png,価,"value, price"
../kanji_images/kanji_佳.png,佳,"excellent, beautiful, good, pleasing, skilled"
../kanji_images/kanji_加.png,加,"add, addition, increase, join, include, Canada"
../kanji_images/kanji_可.png,可,"can, passable, approval"
../kanji_images/kanji_嘉.png,嘉,"applaud, praise, esteem, happy, auspicious"
../kanji_images/kanji_夏.png,夏,summer
../kanji_images/kanji_嫁.png,嫁,"marry into, bride"
../kanji_images/kanji_家.png,家,"house, home, family, professional, expert, performer"
../kanji_images/kanji_寡.png,寡,"widow, minority, few"
../kanji_images/kanji_科.png,科,"department, course, section"
../kanji_images/kanji_暇.png,暇,"spare time, rest, leisure, time, leave of absence"
../kanji_images/kanji_果.png,果,"fruit, reward, carry out, achieve, complete, end, finish, succeed"
../kanji_images/kanji_架.png,架,"erect, frame, mount, support, shelf, construct"
../kanji_images/kanji_歌.png,歌,"song, sing"
../kanji_images/kanji_河.png,河,river
../kanji_images/kanji_火.png,火,fire
../kanji_images/kanji_珂.png,珂,jewel
../kanji_images/kanji_禍.png,禍,"calamity, misfortune, evil, curse"
../kanji_images/kanji_禾.png,禾,two-branch tree radical (no. 115)
../kanji_images/kanji_稼.png,稼,"earnings, work, earn money"
../kanji_images/kanji_箇.png,箇,counter for articles
../kanji_images/kanji_花.png,花,flower
../kanji_images/kanji_苛.png,苛,"torment, scold, chastise"
../kanji_images/kanji_茄.png,茄,eggplant
../kanji_images/kanji_荷.png,荷,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight"
../kanji_images/kanji_華.png,華,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous"
../kanji_images/kanji_菓.png,菓,"candy, cakes, fruit"
../kanji_images/kanji_蝦.png,蝦,"shrimp, prawn, lobster"
../kanji_images/kanji_課.png,課,"chapter, lesson, section, department, division, counter for chapters (of a book)"
../kanji_images/kanji_嘩.png,嘩,noisy
../kanji_images/kanji_貨.png,貨,"freight, goods, property"
../kanji_images/kanji_迦.png,迦,(used phonetically)
../kanji_images/kanji_過.png,過,"overdo, exceed, go beyond, error"
../kanji_images/kanji_霞.png,霞,"be hazy, grow dim, blurred"
../kanji_images/kanji_蚊.png,蚊,mosquito
../kanji_images/kanji_俄.png,俄,"sudden, abrupt, improvised"
../kanji_images/kanji_峨.png,峨,high mountain
../kanji_images/kanji_我.png,我,"ego, I, selfish, our, oneself"
../kanji_images/kanji_牙.png,牙,"tusk, fang, tusk radical (no. 92)"
../kanji_images/kanji_画.png,画,"brush-stroke, picture"
../kanji_images/kanji_臥.png,臥,"bend down, bow, lie prostrate"
../kanji_images/kanji_芽.png,芽,"bud, sprout, spear, germ"
../kanji_images/kanji_蛾.png,蛾,moth
../kanji_images/kanji_賀.png,賀,"congratulations, joy"
../kanji_images/kanji_雅.png,雅,"gracious, elegant, graceful, refined"
../kanji_images/kanji_餓.png,餓,"starve, hungry, thirst"
../kanji_images/kanji_駕.png,駕,"vehicle, palanquin, litter, hitch up an animal"
../kanji_images/kanji_介.png,介,"jammed in, shellfish, mediate, concern oneself with"
../kanji_images/kanji_会.png,会,"meeting, meet, party, association, interview, join"
../kanji_images/kanji_解.png,解,"unravel, notes, key, explanation, understanding, untie, undo, solve, answer, cancel, absolve, explain, minute"
../kanji_images/kanji_回.png,回,"-times, round, game, revolve, counter for occurrences"
../kanji_images/kanji_塊.png,塊,"clod, lump, chunk, clot, mass"
../kanji_images/kanji_壊.png,壊,"demolition, break, destroy"
../kanji_images/kanji_廻.png,廻,"round, game, revolve, go around, circumference"
../kanji_images/kanji_快.png,快,"cheerful, pleasant, agreeable, comfortable"
../kanji_images/kanji_怪.png,怪,"suspicious, mystery, apparition"
../kanji_images/kanji_悔.png,悔,"repent, regret"
../kanji_images/kanji_恢.png,恢,"wide, large, enlarge"
../kanji_images/kanji_懐.png,懐,"feelings, heart, yearn, miss someone, become attached to, bosom, breast, pocket"
../kanji_images/kanji_戒.png,戒,commandment
../kanji_images/kanji_拐.png,拐,"kidnap, falsify"
../kanji_images/kanji_改.png,改,"reformation, change, modify, mend, renew, examine, inspect, search"
../kanji_images/kanji_魁.png,魁,charging ahead of others
../kanji_images/kanji_晦.png,晦,"dark, disappear"
../kanji_images/kanji_械.png,械,"contraption, fetter, machine, instrument"
../kanji_images/kanji_海.png,海,"sea, ocean"
../kanji_images/kanji_灰.png,灰,"ashes, puckery juice, cremate"
../kanji_images/kanji_界.png,界,"world, boundary"
../kanji_images/kanji_皆.png,皆,"all, everything"
../kanji_images/kanji_絵.png,絵,"picture, drawing, painting, sketch"
../kanji_images/kanji_芥.png,芥,"mustard, rape, dust, trash, rubbish"
../kanji_images/kanji_蟹.png,蟹,crab
../kanji_images/kanji_開.png,開,"open, unfold, unseal"
../kanji_images/kanji_階.png,階,"storey, stair, counter for storeys of a building"
../kanji_images/kanji_貝.png,貝,shellfish
../kanji_images/kanji_凱.png,凱,victory song
../kanji_images/kanji_劾.png,劾,"censure, criminal investigation"
../kanji_images/kanji_外.png,外,outside
../kanji_images/kanji_咳.png,咳,"cough, clear throat"
../kanji_images/kanji_害.png,害,"harm, injury"
../kanji_images/kanji_崖.png,崖,"cliff, bluff, precipice"
../kanji_images/kanji_慨.png,慨,"rue, be sad, sigh, lament"
../kanji_images/kanji_概.png,概,"outline, condition, approximation, generally"
../kanji_images/kanji_涯.png,涯,"horizon, shore, limit, bound"
../kanji_images/kanji_碍.png,碍,obstacle
../kanji_images/kanji_蓋.png,蓋,"cover, lid, flap"
../kanji_images/kanji_街.png,街,"boulevard, street, town"
../kanji_images/kanji_該.png,該,"above-stated, the said, that specific"
../kanji_images/kanji_鎧.png,鎧,"put on armor, arm oneself"
../kanji_images/kanji_骸.png,骸,"bone, body, corpse"
../kanji_images/kanji_浬.png,浬,"knot, nautical mile"
../kanji_images/kanji_馨.png,馨,"fragrant, balmy, favourable"
../kanji_images/kanji_蛙.png,蛙,frog
../kanji_images/kanji_垣.png,垣,"hedge, fence, wall"
../kanji_images/kanji_柿.png,柿,persimmon
../kanji_images/kanji_蛎.png,蛎,oyster
../kanji_images/kanji_鈎.png,鈎,"hook, barb, gaff, brackets"
../kanji_images/kanji_劃.png,劃,divide
../kanji_images/kanji_嚇.png,嚇,"menacing, dignity, majesty, threaten"
../kanji_images/kanji_各.png,各,"each, every, either"
../kanji_images/kanji_廓.png,廓,"enclosure, quarter, red-light district"
../kanji_images/kanji_拡.png,拡,"broaden, extend, expand, enlarge"
../kanji_images/kanji_撹.png,撹,"disturb, throw into confusion"
../kanji_images/kanji_格.png,格,"status, rank, capacity, character, case (law, grammar)"
../kanji_images/kanji_核.png,核,"nucleus, core, kernel"
../kanji_images/kanji_殻.png,殻,"husk, nut shell"
../kanji_images/kanji_獲.png,獲,"seize, get, find, earn, acquire, can, may, able to"
../kanji_images/kanji_確.png,確,"assurance, firm, tight, hard, solid, confirm, clear, evident"
../kanji_images/kanji_穫.png,穫,"harvest, reap"
../kanji_images/kanji_覚.png,覚,"memorize, learn, remember, awake, sober up"
../kanji_images/kanji_角.png,角,"angle, corner, square, horn, antlers"
../kanji_images/kanji_赫.png,赫,"suddenly, brighten, illuminate, light up"
../kanji_images/kanji_較.png,較,"contrast, compare"
../kanji_images/kanji_郭.png,郭,"enclosure, quarters, fortification, red-light district"
../kanji_images/kanji_閣.png,閣,"tower, tall building, palace"
../kanji_images/kanji_隔.png,隔,"isolate, alternate, distance, separate, gulf"
../kanji_images/kanji_革.png,革,"leather, skin, reform, become serious"
../kanji_images/kanji_学.png,学,"study, learning, science"
../kanji_images/kanji_岳.png,岳,"point, peak, mountain"
../kanji_images/kanji_楽.png,楽,"music, comfort, ease"
../kanji_images/kanji_額.png,額,"forehead, tablet, plaque, framed picture, sum, amount, volume"
../kanji_images/kanji_顎.png,顎,"jaw, chin, gill"
../kanji_images/kanji_掛.png,掛,"hang, suspend, depend, arrive at, tax, pour"
../kanji_images/kanji_笠.png,笠,"bamboo hat, one's influence"
../kanji_images/kanji_樫.png,樫,"evergreen oak, (kokuji)"
../kanji_images/kanji_橿.png,橿,oak
../kanji_images/kanji_梶.png,梶,sculling oar
../kanji_images/kanji_鰍.png,鰍,bullhead
../kanji_images/kanji_潟.png,潟,lagoon
../kanji_images/kanji_割.png,割,"proportion, comparatively, divide, cut, separate, split"
../kanji_images/kanji_喝.png,喝,"hoarse, scold"
../kanji_images/kanji_恰.png,恰,"just as, as though, fortunately"
../kanji_images/kanji_括.png,括,"fasten, tie up, arrest, constrict"
../kanji_images/kanji_活.png,活,"lively, resuscitation, being helped, living"
../kanji_images/kanji_渇.png,渇,"thirst, dry up, parch"
../kanji_images/kanji_滑.png,滑,"slippery, slide, slip, fail exam"
../kanji_images/kanji_葛.png,葛,"arrowroot, kudzu"
../kanji_images/kanji_褐.png,褐,"brown, woollen kimono"
../kanji_images/kanji_轄.png,轄,"control, wedge"
../kanji_images/kanji_且.png,且,"moreover, also, furthermore"
../kanji_images/kanji_鰹.png,鰹,bonito
../kanji_images/kanji_叶.png,叶,"grant, answer"
../kanji_images/kanji_椛.png,椛,"autumn foliage, birch, maple, (kokuji)"
../kanji_images/kanji_樺.png,樺,"birch, dark red"
../kanji_images/kanji_鞄.png,鞄,"suitcase, bag, briefcase"
../kanji_images/kanji_株.png,株,"stocks, stump, shares, stock, counter for small plants"
../kanji_images/kanji_兜.png,兜,"helmet, head piece"
../kanji_images/kanji_竃.png,竃,"kitchen stove, furnace, oven, hearth"
../kanji_images/kanji_蒲.png,蒲,"bullrush, flag, cattail"
../kanji_images/kanji_釜.png,釜,"kettle, cauldron, iron pot"
../kanji_images/kanji_鎌.png,鎌,"sickle, scythe, trick"
../kanji_images/kanji_噛.png,噛,"chew, bite, gnaw"
../kanji_images/kanji_鴨.png,鴨,"wild duck, easy mark"
../kanji_images/kanji_栢.png,栢,oak
../kanji_images/kanji_茅.png,茅,miscanthus reed
../kanji_images/kanji_萱.png,萱,miscanthus reed
../kanji_images/kanji_粥.png,粥,rice gruel
../kanji_images/kanji_刈.png,刈,"reap, cut, clip, trim, prune"
../kanji_images/kanji_苅.png,苅,cutting (grass)
../kanji_images/kanji_瓦.png,瓦,"tile, gram"
../kanji_images/kanji_乾.png,乾,"drought, dry, dessicate, drink up, heaven, emperor"
../kanji_images/kanji_侃.png,侃,"strong, just, righteous, peace-loving"
../kanji_images/kanji_冠.png,冠,"crown, best, peerless"
../kanji_images/kanji_寒.png,寒,cold
../kanji_images/kanji_刊.png,刊,"publish, carve, engrave"
../kanji_images/kanji_勘.png,勘,"intuition, perception, check, compare, sixth sense"
../kanji_images/kanji_勧.png,勧,"persuade, recommend, advise, encourage, offer"
../kanji_images/kanji_巻.png,巻,"scroll, volume, book, part, roll up, wind up, tie, coil, counter for texts (or book scrolls)"
../kanji_images/kanji_喚.png,喚,"yell, cry, call, scream, summon"
../kanji_images/kanji_堪.png,堪,"withstand, endure, support, resist"
../kanji_images/kanji_姦.png,姦,"wicked, mischief, seduce, rape, noisy"
../kanji_images/kanji_完.png,完,"perfect, completion, end"
../kanji_images/kanji_官.png,官,"bureaucrat, the government, organ"
../kanji_images/kanji_寛.png,寛,"tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded"
../kanji_images/kanji_干.png,干,"dry, parch, ebb, recede, interfere, intercede"
../kanji_images/kanji_幹.png,幹,"tree trunk, main part, talent, capability"
../kanji_images/kanji_患.png,患,"afflicted, disease, suffer from, be ill"
../kanji_images/kanji_感.png,感,"emotion, feeling, sensation"
../kanji_images/kanji_慣.png,慣,"accustomed, get used to, become experienced"
../kanji_images/kanji_憾.png,憾,"remorse, regret, be sorry"
../kanji_images/kanji_換.png,換,"interchange, period, change, convert, replace, renew"
../kanji_images/kanji_敢.png,敢,"daring, brave, bold, sad, tragic, pitiful"
../kanji_images/kanji_柑.png,柑,"citrus, orange"
../kanji_images/kanji_桓.png,桓,marking post
../kanji_images/kanji_棺.png,棺,"coffin, casket"
../kanji_images/kanji_款.png,款,"goodwill, article, section, friendship, collusion"
../kanji_images/kanji_歓.png,歓,"delight, joy"
../kanji_images/kanji_汗.png,汗,"sweat, perspire"
../kanji_images/kanji_漢.png,漢,"Sino-, China"
../kanji_images/kanji_澗.png,澗,"valley river, 10**36"
../kanji_images/kanji_潅.png,潅,"pour into, irrigate, shed (tears), flow into, concentrate on"
../kanji_images/kanji_環.png,環,"ring, circle, loop"
../kanji_images/kanji_甘.png,甘,"sweet, coax, pamper, be content, sugary"
../kanji_images/kanji_監.png,監,"oversee, official, govt office, rule, administer"
../kanji_images/kanji_看.png,看,"watch over, see"
../kanji_images/kanji_竿.png,竿,"pole, rod, scale beam, violin neck"
../kanji_images/kanji_管.png,管,"pipe, tube, wind instrument, drunken talk, control, jurisdiction"
../kanji_images/kanji_簡.png,簡,"simplicity, brevity"
../kanji_images/kanji_緩.png,緩,"slacken, loosen, relax, lessen, be moderate, ease"
../kanji_images/kanji_缶.png,缶,"tin can, container, jar radical (no. 121)"
../kanji_images/kanji_翰.png,翰,"letter, writing brush"
../kanji_images/kanji_肝.png,肝,"liver, pluck, nerve, chutzpah"
../kanji_images/kanji_艦.png,艦,warship
../kanji_images/kanji_莞.png,莞,"smiling, reed used to cover tatami"
../kanji_images/kanji_観.png,観,"outlook, look, appearance, condition, view"
../kanji_images/kanji_諌.png,諌,"admonish, dissuade"
